,Multihead_Self_Attention.proj,Multihead_Self_Attention.qk,Multihead_Self_Attention.qkv,Multihead_Self_Attention,TransformerBlock.attn,SwiGLU_FFN,TransformerBlock.ffn,Transformer_LM.lm_head,Transformer_LM
XL,15728640000,3355443200,3355443200,22439526400,22439526400,62914560000,62914560000,164682137600,4261678284800
,Multihead_Self_Attention.proj,Multihead_Self_Attention.qk,Multihead_Self_Attention.qkv,Multihead_Self_Attention,TransformerBlock.attn,SwiGLU_FFN,TransformerBlock.ffn,Transformer_LM.lm_head,Transformer_LM
L,10066329600,2684354560,2684354560,15435038720,15435038720,50331648000,50331648000,131745710080,2499346432000
,Multihead_Self_Attention.proj,Multihead_Self_Attention.qk,Multihead_Self_Attention.qkv,Multihead_Self_Attention,TransformerBlock.attn,SwiGLU_FFN,TransformerBlock.ffn,Transformer_LM.lm_head,Transformer_LM
M,6442450944,2147483648,2147483648,10737418240,10737418240,40265318400,40265318400,105396568064,1329462247424
,Multihead_Self_Attention.proj,Multihead_Self_Attention.qk,Multihead_Self_Attention.qkv,Multihead_Self_Attention,TransformerBlock.attn,SwiGLU_FFN,TransformerBlock.ffn,Transformer_LM.lm_head,Transformer_LM
S,3623878656,1610612736,1610612736,6845104128,6845104128,30198988800,30198988800,79047426048,523576541184
